Column1,Column2,Column3,Column4,Column5
acrylates/dimethicone copolymer,https://www.paulaschoice.com/ingredient-dictionary/silicones/acrylates%2Fdimethicone-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Silicones', 'Texture Enhancer']",Good,Silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better to skin.
acrylates/steareth-20 methacrylate copolymer,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates%2Fsteareth-20-methacrylate-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,"Acrylates/steareth-20 methacrylate copolymer is a synthetic polymer that blends steareth-20 with one or more forms of methacrylic acid. Functions as a thickening agent in skin care products. References for this information: International Journal of Toxicology, September-October 2017, Volume 36, Supplement 5, pages 59S-88S  Contact Dermatitis Cutaneous Allergy Environmental and Occupational Dermatitis, November 2006, Volume 55, Issue 5, pages 257-267  International Journal of Research in Cosmetic Science, February 2016, Volume 6, Issue 1, pages 6-16"
acrylates copolymer,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,
Actaea racemosa,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/actaea-racemosa.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Average,
Actinidia chinensis (kiwi fruit) extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/actinidia-chinensis-kiwi-fruit-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Kiwi fruit extract is an excellent source of antioxidants for skin, including vitamin C and several polyphenols. The antioxidants in kiwi can help defend skin from the visible effects of airborne pollutants. Kiwi fruit is also a good source of the carotenoid antioxidant lutein. References for this information: Plant Foods for Human Nutrition, October 2017, pages 325-334 Nutrients, August 2017, ePublication Food Technology and Biotechnology, December 2016, pages 462-467 Nutricon Hospitilaria, Supplement 4, July 2016, page 340 Current Topics in Medicinal Chemistry, Volume 11, 2011, pages 1,811-1,820"
adenosine,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/adenosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Skin-Restoring']",Best,"Adenosine at a Glance

Derived from yeast as a skin care ingredient (but also naturally present in the body)
Topical application connects to skin’s natural adenosine receptors
Known for its anti-wrinkle, skin-smoothing, and soothing benefits
Also shows potential for its healing properties
White, odorless, crystalline powder in its raw form

Adenosine Description
Adenosine is a water-soluble yeast-derived ingredient that functions as a good soothing and skin-restoring agent. It has proven anti-wrinkle benefits and is a safe, beneficial ingredient all skin types can use. Studies also indicate strong potential for soothing properties.
One of the particularly exceptional qualities of adenosine is that it’s a natural component of the body and its receptors have specifically been identified in skin cells, allowing for a direct connection and impressive effectiveness when applied topically.
In one study (conducted by L’Oreal) adenosine showed efficacy in as low as 0.1% concentration for improving deep wrinkles in the periorbital area (i.e. crow’s feet) as well as glabellar frown lines (known as the 11s between brows).
In 2020, the Expert Panel for Cosmetic Ingredient Safety concluded that adenosine was safe in concentrations of up to 1% in leave on skin care products.
Adenosine is described as a white, odorless, crystalline powder in its raw form.
Adenosine References
PubChem, Accessed May 2021, ePublication
Cosmetic Ingredient Review, September 2020, pages 1-38
Experimental Dermatology, August 2014, pages 553-554
Journal of Investigative Dermatology, August 2011, pages 526-546
International Journal of Cosmetic Science, December 2006, pages 447-451
British Journal of Pharmacology, October 2008, issue 4, pages 475-486
PloS One, May 2008 (ePublication)
International Journal of Cosmetic Science, August 2006, pages 447-451"
adenosine phosphate,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/adenosine-phosphate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Restoring', 'Skin-Soothing']",Best,"A skin-soothing and restoring ingredient that’s structurally similar to adenosine triphosphate. It’s sometimes referred to as adenosine monophosphate, or AMP. Applied to skin, AMP helps create pathways within skin’s surface that assist with energy transport. This can visibly revitalize tired-looking, stressed skin. References for this information: International Journal of Molecular Sciences, January 2017, ePublication Archives of Dermatological Research, May 2012, pages 313-317 Biomaterials, March 2006, pages 1,355-1,361"
adenosine triphosphate,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/adenosine-triphosphate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Skin-Restoring']",Best,"Organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids.Research has shown that ATP appears to have strong potential as a skin-restoring ingredient and as a soothing agent.References for this information:Journal of Cutaneous Medicine and Surgery, March-April 2004, issue 2, pages 90-96"
adipic acid/neopentyl glycol/trimellitic anhydride copolymer,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/adipic-acid%2Fneopentyl-glycol%2Ftrimellitic-anhydride-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,A synthetic polymer.
advanced glycation endproduct (AGE),https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/advanced-glycation-endproduct.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],Poor,"Advanced glycation end-products (AGEs) are destructive substances generated in the body when we consume refined sugars and due to environmental exposure without adequate protection. But first, a bit of backstory… One of the more depressing skincare facts we can think of is how bad dietary sugar or high glycemic index foods (foods that turn to sugar almost immediately after eating them) are for almost every aspect of your skin. Chocolate cake, honey-drenched sweets, ice cream sundaes, bread pudding, and on and on (and we could go on and on) cause very bad things to happen to skin. UV light and air pollutants are attacking your skin from the outside in, and sugar is attacking it from the inside out. What’s the relationship between sugar and AGEs? Sugars quickly and strongly bind to proteins in the skin (proteins are the main building blocks of skin) forming AGEs that progressively and continually destroy many aspects of skin, especially elastin and collagen, the two substances that give skin its firmness and resilience. Once generated, AGEs begin a cascade of progressive damage that isn’t easy to stop or reverse. Research has also shown AGEs can cause abnormal melanin production that leads to the formation of brown spots and mottled skin discolorations. Another ironic acronym for this is RAGEs, meaning a receptor site for AGEs that induces unhealthy melanin production. Although sugar is certainly a major culprit in the skin-damaging creation of AGEs, so is something called the Maillard Reaction (MR). The Maillard Reaction is what happens when you cook any food and brown or blacken it with high heat. That means steaming or sautéing food without browning is far healthier for your skin and body. And chargrilling foods, especially meats, at high heat is even worse! Our apologies to those who prefer their steaks well done. While some skincare companies claim their products contain ingredients that can block AGEs from forming, that benefit hasn’t been supported anywhere in the research. In the meantime, while science is working on this insidious problem, eating a low sugar diet that’s rich in antioxidants, complex carbohydrates, and omega fatty acids is by far the best approach for younger-looking, healthy skin from the inside out (and when you put those ingredients on your skin it can help from the outside in too, it’s just not clear how much that helps control the visible effects of AGEs; however, a huge amount of research shows those ingredients to be beneficial for skin overall). What about the occasional sweet treat? Although we can’t change what eating refined sugars does to your skin (and yes, this includes so-called sugar substitutes like raw honey and agave nectar, both of which the body recognizes as simple sugars), we also realize that sweets play a role in the pleasures of eating and celebrating. The trick is to keep it in moderation, meaning an occasional, judicious indulgence rather than daily consumption of desserts, sugary sodas, and flavored coffee drinks, the latter of which can contain an alarming amount of sugars. References for this information: Journal of Agricultural Food Chemistry, February 2018, pages 1,325-1,329 Advances in Nutrition, January 2017, pages 54-62 Dermato-endocrinology, October 2017, page 9 Skin Pharmacology and Physiology, May 2016, pages 231-242 Skin Therapy Letter, November 2015, pages 1-5 Clinical Chemistry and Laboratory Medicine, January 2014, pages 169-174 Proceedings of the National Academy of Sciences, March 14, 2000, pages 2809–2813."
Aerocarpus santalinus,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/aerocarpus-santalinus.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,
Aesculus hippocastanum,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/aesculus-hippocastanum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Good,
agar,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/agar.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Emollients', 'Texture Enhancer']",Good,"Agar is an algae-based natural ingredient that serves as a thickener in cosmetics. References for this information: IOP Conference Series Earth and Environmental Science, February 2020  Marine Drugs, November 2018, pages 1-41  Carbohydrate Polymers, July 2013, Volume 96, Issue 1, pages 71-81  Biomedical Materials, November 2008, Volume 3, Number 4"
Agastache mexicana (hyssop) flower/leaf/stem extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/agastache-mexicana-hyssop-flower-leaf-stem-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Good,"Agastache Mexicana (also known as hyssop) is a flowering shrub native to North America that’s an edible plant with an anise-like flavor and aroma. The flower, leaf, and stem are sources of antioxidants, including hesperetin, apigenin, salvigenin, kaempferol, and quercetin. Research on this plant’s direct benefit to skin is somewhat lacking; however, its antioxidant and calming abilities means it complements the benefits of more proven antioxidants. References for this information:  Molecules, May 2014, pages 5,490–5,507 Phytochemistry Reviews, April 2014, ePublication"
AGE,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/age.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],Poor,
Agrimonia eupatoria leaf extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/agrimonia-eupatoria-leaf-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Average,"Research shows this plant extract has antioxidant properties. Whether or not it has a benefit when applied topically is not known.
References for this information:
Journal of Ethnopharmacology, January 2005, issue 3, pages 145-150"
AHA,https://www.paulaschoice.com/ingredient-dictionary/exfoliant/aha.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Exfoliant'],Best,"Acronym for alpha hydroxy acid. AHAs are derived naturally from various plant sources and from milk, but 99% of the AHAs used in cosmetics are synthetically derived. In low concentrations (less than 3%), AHAs work as water-binding agents. At concentrations greater than 4% and in a base with an acid pH of 3 to 4, these ingredients can exfoliate by breaking down the substance that holds dead skin together. The most effective and well-researched AHAs are glycolic acid and lactic acid. Malic acid, citric acid, and tartaric acid may also be effective. AHAs may sensitize mucous membranes. However, AHAs have been widely used for improving signs of aging, dry skin and an uneven skin tone, all of which lead to younger-looking skin. There is a vast amount of research that substantially describes how the aging process affects skin and that demonstrates that many of the unwanted changes can be improved by topical application of AHAs, including glycolic and lactic acids. AHA use can result in increased sensitivity to the sun, though wearing a sunscreen daily eliminates this risk. Note: AHAs are of little benefit when added to rinse-off products, as their contact with skin is too brief for them to function as exfoliants or absorb into skin. References for this information: Jundishapur Journal of Natural Pharmaceutical Products, January 2012, pages 9-10 Evidence Based Complementary and Alternative Medicine, June 2011, ePublication"
Ahnfeltia concinna extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/ahnfeltia-concinna-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Texture Enhancer', 'Plant Extracts', 'Emollients']",Good,
ahnfeltia extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/ahnfeltia-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Plant Extracts']",Good,
Ahnfeltiopsis concinna extract,https://www.paulaschoice.com/ingredient-dictionary/emollients/ahnfeltiopsis-concinna-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Antioxidants', 'Plant Extracts', 'Texture Enhancer']",Good,"Type of red algae with calming and hydrating properties for skin. Reference for this information:International Journal of Cosmetic Dermatology, September 2012, pages 207-212"
alanine,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/alanine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Good,
Alaria esculenta extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/alaria-esculenta.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Plant Extracts', 'Texture Enhancer']",Good,"Alaria esculenta extract is a type of brown seaweed also known as badderlocks, used topically as an antioxidant and hydrating agent due to its mix of replenishing fatty acids. References for this information: Marine Drugs, December 2019, ePublication Cosmetics, Volume 5, Issue 68, 2018,pages 1–41 International Journal of Cosmetic Science, October 2011, pages 462–466  https://www.cir-safety.org/sites/default/files/Brown%20Algae.pdf"
albumin,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/albumin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Poor,"Found in egg white, and can leave a film over skin. It can constrict skin temporarily, which can make it look smoother temporarily, but it can also cause sensitivity and is not helpful for skin."
alcloxa,https://www.paulaschoice.com/ingredient-dictionary/uncategorized/alcloxa.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Uncategorized'],Poor,"More technically known as aluminum chlorhydroxy allantoinate, alcloxa has constricting properties that can be sensitizing to skin."
